Category,Message
spam,todays voda numbers ending 5226 are selected to receive a 350 award if you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,wishing you and your family merry x mas and happy new year in advance
spam,free2day sexy st georges day pic of jordantxt pic to 89080 dont miss out then every wk a saucy celeb4 more pics c pocketbabecouk 0870241182716 3wk
spam,hi there 2nights ur lucky night uve been invited 2 xchat the uks wildest chat txt chat to 86688 now 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs
spam,you will be receiving this weeks triple echo ringtone shortly enjoy it
ham,damn can you make it tonight or do you want to just wait til tomorrow
ham,been running but only managed 5 minutes and then needed oxygen might have to resort to the roller option
ham,hey anyway i have to 
spam,you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from o2fwd only 18ptxt
ham,i absolutely love south park i only recently started watching the office
spam,sms auction  a brand new nokia 7250 is up 4 auction today auction is free 2 join  take part txt nokia to 86021 now hgsuite3422lands roww1j6hl
ham,from tomorrow onwards eve 6 to 3 work
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires
ham,nope c ü then
ham,i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care
spam,our dating service has been asked 2 contact u by someone shy call 09058091870 now all will be revealed pobox84 m26 3uz 150p
spam,gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p
ham,the message sent is askin for  ltgt dollars shoul i pay  ltgt  or  ltgt 
spam,you have won a guaranteed 1000 cash or a 2000 prize to claim yr prize call our customer service representative on 08714712394 between 10am7pm
ham,great p diddy is my neighbor and comes for toothpaste every morning
spam,free message activate your 500 free text messages by replying to this message with the word free for terms  conditions visit www07781482378com
ham,its so common hearin how r u wat r u doing how was ur day so let me ask u something different did u smile today if not do it now gud evng
spam,hope you enjoyed your new content text stop to 61610 to unsubscribe help08712400602450p provided by tones2youcouk
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food
ham,looks like you found something to do other than smoke great job
ham,yep i do like the pink furniture tho
spam,urgent call 09066350750 from your landline your complimentary 4 ibiza holiday or 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18
ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love 
spam,private your 2003 account statement for shows 800 unredeemed sim points call 08715203685 identifier code4xx26 expires 131004
spam,well done your 4 costa del sol holiday or 5000 await collection call 09050090044 now toclaim sae tcs pobox334 stockport sk38xh cost150pm max10mins
spam,thanks for your ringtone order reference number x49 your mobile will be charged 450 should your tone not arrive please call customer services 09065989182 from colourredtextcolourtxtstar
spam,thanks for your ringtone order ref number k718 your mobile will be charged 450 should your tone not arrive please call customer services on 09065069120
ham,no no i will check all rooms befor activities
ham,120 that call cost which i guess isnt bad miss ya need ya want ya love ya
ham,r u in this continent
spam,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906
spam,private your 2003 account statement for 07753741225 shows 800 unredeemed s i m points call 08715203677 identifier code 42478 expires 241004
ham,eh den sat u book e kb liao huh
spam,09066362231 urgent your mobile no 07xxxxxxxxx won a 2000 bonus caller prize on 020603 this is the 2nd attempt to reach you call 09066362231 asap
ham,single line with a big meaning miss anything 4 ur best life but dont miss ur best life for anything gud nyt
spam,you have 1 new voicemail please call 08719181503
spam,customer loyalty offerthe new nokia6650 mobile from only 10 at txtauction txt word start to no 81151  get yours now 4tctxt tc 150pmtmsg
ham,no my blankets are sufficient thx
spam,you have won as a valued vodafone customer our computer has picked you to win a 150 prize to collect is easy just call 09061743386
spam,urgent call 09066350750 from your landline your complimentary 4 ibiza holiday or 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18
spam,sms auction  a brand new nokia 7250 is up 4 auction today auction is free 2 join  take part txt nokia to 86021 now
ham,whats up do you want me to come online
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 150 sptyrone
ham,hurry home u big butt hang up on your last caller if u have to food is done and im starving dont ask what i cooked
ham,so im doing a list of buyers
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589
ham,sorry no have got few things to do may be in pub later
spam,gsoh good with spam the ladiesu could b a male gigolo 2 join the uks fastest growing mens club reply oncall mjzgroup 087143423992stop reply stop msg150rcvd
spam,tddnewsletteremc1couk more games from thedailydraw dear helen dozens of free games  with great prizeswith
spam,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050000460 from land line claim j89 po box245c2150pm
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066368470
spam,promotion number 8714714  ur awarded a city break and could win a 200 summer shopping spree every wk txt store to 88039  skilgme tscs087147403231winawkage16 150perwksub
ham,please da call me any mistake from my side sorry da pls da goto doctor
spam,urgent important information for 02 user today is your lucky day 2 find out why  log onto httpwwwurawinnercom there is a fantastic surprise awaiting you 
ham,you are right meanwhile hows project twins comin up
ham,dear i have reache room
ham,cuz ibored and don wanna study
ham,sbut he had some luck2 catches put down
spam,your 2004 account for 07xxxxxxxxx shows 786 unredeemed points to claim call 08719181259 identifier code xxxxx expires 260305
ham,awesome plan to get here any time after like  ltgt  ill text you details in a wee bit
spam,okmail dear dave this is your final notice to collect your 4 tenerife holiday or 5000 cash award call 09061743806 from landline tcs sae box326 cw25wx 150ppm
ham,i will come tomorrow di
spam,dear matthew please call 09063440451 from a landline your complimentary 4lux tenerife holiday or 1000 cash await collection ppm150 sae tcs box334 sk38xh
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030
ham,cthen i thk shd b enuff still got conclusion n contents pg n references ill b doing da contents pg n cover pg
spam,ur hmv quiz cashbalance is currently 500  to maximize ur cashin now send hmv1 to 86688 only 150pmsg
ham,i will be gentle princess we will make sweet gentle love
spam,guess who am ithis is the first time i created a web page wwwasjesuscom read all i wrote im waiting for your opinions i want to be your friend 11
ham,im home
spam,sports fans  get the latest sports news str 2 ur mobile 1 wk free plus a free tone txt sport on to 8007 wwwgetzedcouk 0870141701216 norm 4txt120p
ham,thinking of u  x
ham,were somewhere on fredericksburg
spam,you are being contacted by our dating service by someone you know to find out who it is call from a land line 09050000928 pobox45w2tg150p
ham,sorry ill call later
spam,for your chance to win a free bluetooth headset then simply reply back with adp
ham,heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams
ham,my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked
spam,hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870k
spam,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094599
ham,haha awesome i might need to take you up on that what you doin tonight
ham,wat time u finish ur lect today
ham,kkany special today
ham,aiya we discuss later lar pick ü up at 4 is it
ham,thats y u haf 2 keep me busy
spam,urgent your mobile number has been awarded with a 2000 prize guaranteed call 09061790121 from land line claim 3030 valid 12hrs only 150ppm
ham, are you in the pub
ham,have you laid your airtel line to rest
spam,xmas prize draws we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09058094565 from land line valid 12hrs only
spam,youll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network  try again
spam,449050000301 you have won a 2000 price to claim call 09050000301
ham,lol wtf random btw is that your lunch break
ham,cool ill text you in a few
ham,what not under standing
spam,forwarded from 21870000hi  this is your mailbox messaging sms alert you have 4 messages you have 21 matches please call back on 09056242159 to retrieve your messages and matches
spam,22 146tf150p
spam,youve won tkts to the euro2004 cup final or 800 cash to collect call 09058099801 b4190604 pobox 7876150ppm
spam,sms services for your inclusive text credits pls goto wwwcomuknet login  unsubscribe with stop no extra charge help08700469649 po box420 ip4 5we
spam,08714712388 between 10am7pm cost 10p
spam,if you dont your prize will go to another customer tc at wwwtcbiz 18 150pmin polo ltd suite 373 london w1j 6hl please call back if busy
ham,by monday next week give me the full gist
ham,oh u must have taken your real valentine out shopping first
spam,you 07801543489 are guaranteed the latests nokia phone a 40gb ipod mp3 player or a 500 prize txt wordcollect to no83355 tcllc nyusa 150pmt msgrcvd18
ham,great to hear you are settling well so whats happenin wit ola
ham,i dont have anybodys number i still havent thought up a tactful way to ask alex
ham,no i dont want to hear anything
ham,all these nice new shirts and the only thing i can wear them to is nudist themed _ you in mu
ham,hello my love how goes that day  i wish your well and fine babe and hope that you find some job prospects i miss you boytoy  a teasing kiss
ham,nah wednesday when should i bring the mini cheetos bag over
spam,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,ok
ham,good good billy mates all gone just been jogging again did enjoy concert
spam,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on 0207 153 9153 offer ends 26th july tcs apply optout available
ham,ya when are ü taking ure practical lessons i start in june
spam,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09065171142stopsms08
ham,thats cool ill come by like  ltgt ish
spam,85233 freeringtonereply real
ham,webpage s not available
spam,win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit wwwwin82050couk
ham,ive reached home n i bathe liao u can call me now
ham,sorry me going home first daddy come fetch ü later
ham,hurry up ive been weeddeficient for like three days
ham,how was txting and driving
spam,want explicit sex in 30 secs ring 02073162414 now costs 20pmin gsex pobox 2667 wc1n 3xx
spam,ur awarded a city break and could win a 200 summer shopping spree every wk txt store to 88039  skilgme tscs087147403231winawkage16 150perwksub
spam,i dont know u and u dont know me send chat to 86688 now and lets find each other only 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years or over
ham,hiya had a good day have you spoken to since the weekend
spam,hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870k
ham,my uncles in atlanta wish you guys a great semester
ham,hai priya are you right what doctor said pa where are you
ham,sorry i guess whenever i can get a hold of my connections maybe an hour or two ill text you
spam,important information 4 orange user 0796xxxxxx today is ur lucky day2 find out why log onto httpwwwurawinnercom theres a fantastic prizeawaiting you
ham,how much are we getting
ham,be sure to check your yahoo email we sent photos yesterday
ham,no no i will check all rooms befor activities
ham,can you let me know details of fri when u find out cos im not in tom or fri mentionned chinese thanks
spam,you are being contacted by our dating service by someone you know to find out who it is call from a land line 09050000878 pobox45w2tg150p
spam,you have 1 new message please call 08715205273
ham,housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post officeunderstand
ham,aight sounds good when do you want me to come down
ham,yes princess i want to please you every night your wish is my command
spam,not heard from u4 a while call me now am here all night with just my knickers on make me beg for it like u did last time 01223585236 xx luv nikiyu4net
spam,this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgs150p 18 only
ham,shuhui has bought rons present its a swatch watch
spam,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16
spam,a link to your picture has been sent you can also use httpalto18coukwavewaveaspo44345
ham,no we sell it all so well have tons if coins then sell our coins to someone thru paypal voila money back in life pockets
spam,dear dave this is your final notice to collect your 4 tenerife holiday or 5000 cash award call 09061743806 from landline tcs sae box326 cw25wx 150ppm
spam,sms services for your inclusive text credits pls goto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625comuk 220cm2 9ae
ham,ü still got lessons  ü in sch
ham,good morning my dear shijutta have a great amp successful day
spam,you are awarded a sipix digital camera call 09061221061 from landline delivery within 28days t cs box177 m221bp 2yr warranty 150ppm 16  p p399
ham,headin towards busetop
spam,this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 087187272008 now1 only 10p per minute btnationalrate
spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
spam,for sale  arsenal dartboard good condition but no doubles or trebles
ham,i call you later dont have network if urgnt sms me
ham,awesome lemme know whenever youre around
ham, was a nice day and impressively i was sensible went home early and now feel fine or am i just boring whens yours i cant remember
ham,probably money worries things are coming due and i have several outstanding invoices for work i did two and three months ago
spam,u can win 100 of music gift vouchers every week starting now txt the word draw to 87066 tscs wwwidewcom skillgame 1winaweek age16 150ppermesssubscription
spam,private your 2003 account statement for shows 800 unredeemed s i m points call 08715203694 identifier code 40533 expires 311004
ham,gudnitetcpractice going on
ham,yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out
spam,you have 1 new voicemail please call 08719181513
spam,sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday unsub stop
ham,ill meet you in the lobby
ham,aight no rush ill ask jay
ham,i uploaded mine to facebook
spam,how about getting in touch with folks waiting for company just txt back your name and age to opt in enjoy the community 150psms
ham,sorry ill call later in meeting
spam,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050003091 from land line claim c52 valid12hrs only
spam,88066 from 88066 lost 3pound help
ham,ummmawill call after check inour life will begin from qatar so pls pray very hard
ham,love isnt a decision its a feeling if we could decide who to love then life would be much simpler but then less magical
spam,congratulations ur awarded either 500 of cd gift vouchers  free entry 2 our 100 weekly draw txt music to 87066 tncs wwwldewcom 1 win150ppmx3age16
spam,hi 07734396839 ibh customer loyalty offer the new nokia6600 mobile from only 10 at txtauctiontxt wordstart to no81151  get yours now4t
spam,dear voucher holder to claim this weeks offer at your pc please go to httpwwwwtlpcouktext tscs apply
ham,yup im still having coffee wif my frens my fren drove shell give me a lift
spam,rock yr chik get 100s of filthy films xxx pics on yr phone now rply filth to 69669 saristar ltd e14 9yt 08701752560 450p per 5 days stop2 cancel
spam,knock knock txt whose there to 80082 to enter r weekly draw 4 a 250 gift voucher 4 a store of yr choice tcs wwwtklscom age16 to stoptxtstop150week
ham,i am in officewhats the mattermsg me nowi will call you at break
spam,wan2 win a meetgreet with westlife 4 u or a m8 they are currently on what tour 1unbreakable 2untamed 3unkempt text 12 or 3 to 83049 cost 50p std text
spam,congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid ur mates play java games dload polyph music noline rentl bx420 ip4 5we 150p
spam,you have an important customer service announcement from premier
ham,yeah get the unlimited
spam,are you unique enough find out from 30th august wwwareyouuniquecouk
ham,we know taj mahal as symbol of love but the other lesser known facts 1 mumtaz was shahjahans 4th wife out of his 7 wifes 2 shahjahan killed mumtazs husband to marry her 3 mumtaz died in her  ltgt th delivery 4 he then married mumtazs sister question arises where the hell is the love the great hari
spam,text pass to 69669 to collect your polyphonic ringtones normal gprs charges apply only enjoy your tones
ham,anyway i dont think i can secure anything up here lemme know if you want me to drive down south and chill
spam,buy space invaders 4 a chance 2 win orig arcade game console press 0 for games arcade std wap charge see o2coukgames 4 terms  settings no purchase
ham,lol i know theyre so dramatic schools already closed for tomorrow apparently we cant drive in the inch of snow were supposed to get
ham,dear how you are you ok
spam,you have won a guaranteed 1000 cash or a 2000 prize to claim yr prize call our customer service representative on 08714712412 between 10am7pm cost 10p
spam,how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
spam,missed call alert these numbers called but left no message 07008009200
spam,babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo4msgs
ham,no he didnt spring is coming early yay
ham,hi can i please get a  ltgt  dollar loan from you ill pay you back by mid february pls
ham,got fujitsu ibm hp toshiba got a lot of model how to say
spam,urgent please call 09066612661 from landline 5000 cash or a luxury 4 canary islands holiday await collection tcs sae award 20m12aq 150ppm 16 
spam,the current leading bid is 151 to pause this auction send out customer care 08718726270
ham,it means u could not keep ur words
spam,hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r
ham,nah dub but je still buff
ham,i love to give massages i use lots of baby oil what is your fave position
ham,my friends use to call the same
spam,bored housewives chat n date now 08717507711 btnational rate 10pmin only from landlines
spam,cmon babe make me horny turn me on txt me your fantasy now babe  im hot sticky and need you now all replies cost 150 2 cancel send stop
ham,or i guess  ltgt  min
ham,watching cartoon listening music amp at eve had to go temple amp church what about u
ham,haha my friend tyler literally just asked if you could get him a dubsack
spam,loan for any purpose 500  75000 homeowners  tenants welcome have you been previously refused we can still help call free 0800 1956669 or text back help
spam,camera  you are awarded a sipix digital camera call 09061221066 fromm landline delivery within 28 days
spam,ur balance is now 500 ur next question is who sang uptown girl in the 80s  2 answer txt ur answer to 83600 good luck
ham,ok
ham,im in solihull  do you want anything
spam,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only
spam,private your 2003 account statement for 078
spam,you have won 1000 cash or a 2000 prize to claim call09050000327
ham,we regret to inform u that the nhs has made a mistakeu were never actually bornplease report 2 yor local hospital 2b terminatedwe r sorry 4 the inconvenience
ham,hey what time is your driving on fri we go for evaluation on fri
spam,you have 1 new voicemail please call 08719181513
spam,natalja 25f is inviting you to be her friend reply yes440 or no440 see her wwwsmsacunat27081980 stop send stop frnd to 62468
ham,yup ok i go home look at the timings then i msg ü again xuhui going to learn on 2nd may too but her lesson is at 8am
ham,do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love
ham,no dude its not fakemy frnds got money thts y im reffering uif u member wit my mail link u vl be credited  ltgt rs and il be getiing  ltgt rsi can draw my acc wen it is  ltgt rs
ham,the  ltgt g that i saw a few days ago the guy wants sell wifi only for  ltgt  and with 3g for  ltgt  thats why i blanked him
ham,youve already got a flaky parent itsnot supposed to be the childs job to support the parentnot until theyre the ride age anyway im supposed to be there to support you and now ive hurt you unintentional but hurt nonetheless
spam,3 free tarot texts find out about your love life now try 3 for free text chance to 85555 16 only after 3 free msgs 150 each
spam,we tried to contact you re your reply to our offer of a video handset 750 anytime any networks mins unlimited text camcorder reply or call 08000930705 now
ham,happy new year my no1 man
spam,you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810
spam,our mobile number has won 5000 to claim calls us back or ring the claims hot line on 09050005321
spam,latest nokia mobile or ipod mp3 player 400 proze guaranteed reply with win to 83355 now norcorp ltd150mtmsgrcvd18
ham,i got lousy sleep i kept waking up every 2 hours to see if my cat wanted to come in i worry about him when its cold 
ham,you got called a tool
spam,win a year supply of cds 4 a store of ur choice worth 500  enter our 100 weekly draw txt music to 87066 tscs wwwldewcomsubs161win150ppmx3
ham,i thk 50 shd be ok he said plus minus 10 did ü leave a line in between paragraphs
ham,get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right
ham,im okay chasing the dream whats good what are you doing next
ham,whatever juliana do whatever you want
ham,aight ill get on fb in a couple minutes
spam,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no 88600 to claim 150pmsg exp 30apr
ham,im coming home 4 dinner
ham,uncle abbey happy new year abiola
ham,nokia phone is lovly
ham,also hi wesley howve you been
ham,call me when u finish then i come n pick u
ham,i cant pick the phone right now pls send a message
ham,thank god they are in bed
spam,natalie 20f is inviting you to be her friend reply yes165 or no165 see her wwwsmsacunatalie2k9 stop send stop frnd to 62468
ham,am on a train back from northampton so im afraid not im staying skyving off today ho ho will be around wednesday though do you fancy the comedy club this week by the way
spam,monthly password for wap mobsicom is 391784 use your wap phone not pc
spam,our records indicate u maybe entitled to 5000 pounds in compensation for the accident you had to claim 4 free reply with claim to this msg 2 stop txt stop
ham,good morning plz call me sir
spam,you have won a guaranteed 200 award or even 1000 cashto claim ur award call free on 08000407165 18 2 stop getstop on 88222 php
spam,todays offer claim ur 150 worth of discount vouchers text yes to 85023 now savamob member offers mobile t cs 08717898035 300 sub 16  unsub reply x
spam,double mins  double txt  12 price linerental on latest orange bluetooth mobiles call mobileupd8 for the very latest offers 08000839402 or call2optoutlf56
ham,great hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,hicts employee how are you
ham,sorry ill call later
ham,i accidentally brought em home in the box
spam,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150pmsg rcvd custcare08718720201
spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066
ham,god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is 4u
ham,so that takes away some money worries
ham,so what about you what do you remember
spam,free msgwe billed your mobile number by mistake from shortcode 83332please call 08081263000 to have charges refundedthis call will be free from a bt landline
spam,wanna get laid 2nite want real dogging locations sent direct to ur mobile join the uks largest dogging network txt park to 69696 now nyt ec2a 3lp 150msg
spam,u r subscribed 2 textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 2 84128custcare 08712405020
ham,really i crashed out cuddled on my sofa
ham,im at bruce amp fowler now but im in my moms car so i cant park long story
spam,freemsg hey u i just got 1 of these videopic fones reply wild to this txt  ill send u my pics hurry up im so bored at work xxx 18 150prcvd stop2stop
spam,4mths half price orange line rental  latest camera phones 4 free had your phone 11mths  call mobilesdirect free on 08000938767 to update now or2stoptxt
spam,thanks for your ringtone order reference number x49your mobile will be charged 450 should your tone not arrive please call customer services 09065989182
spam,if you dont your prize will go to another customer tc at wwwtcbiz 18 150pmin polo ltd suite 373 london w1j 6hl please call back if busy
ham,u really pig leh sleep so much my dad wake me up at 10 smth 2 eat lunch today
ham,oh godtaken the teethis it paining
ham,yeah right ill bring my tape measure fri
spam,call 09090900040  listen to extreme dirty live chat going on in the office right now total privacy no one knows your sic listening 60p min 247mp 0870753331018
ham,dude u knw also teluguthts gudk gud nyt
spam,claim a 200 shopping spree just call 08717895698 now have you won mobstorequiz10ppm
spam,uve been selected to stay in 1 of 250 top british hotels  for nothing holiday valued at 350 dial 08712300220 to claim  national rate call bx526 sw73ss
ham,where you what happen
ham,meet after lunch la
spam,you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hgsuite3422lands roww1jhl 16
ham,good morning princess have a great day
spam,urgent we are trying to contact you last weekends draw shows u have won a 1000 prize guaranteed call 09064017295 claim code k52 valid 12hrs 150p pm
spam,ur cashbalance is currently 500 pounds  to maximize ur cashin now send collect to 83600 only 150pmsg cc 08718720201 po box 11414 tcrw1
spam,private your 2003 account statement for fone no shows 800 unredeemed s i m points call 08715203656 identifier code 42049 expires 261004
spam,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 tscs wwwtextpodnet custcare 08712405020
spam,themobhit the link to get a premium pink panther game the new no 1 from sugababes a crazy zebra animation or a badass hoody wallpaperall 4 free
ham,in sch but neva mind u eat 1st lor
spam,forwarded from 21870000hi  this is your mailbox messaging sms alert you have 40 matches please call back on 09056242159 to retrieve your messages and matches cc100pmin
spam,yes the only place in town to meet exciting adult singles is now in the uk txt chat to 86688 now 150pmsg
spam,todays vodafone numbers ending with 4882 are selected to a receive a 350 award if your number matches call 09064019014 to receive your 350 award
ham,send me the new number
spam,moby pub quizwin a 100 high street prize if u know who the new duchess of cornwall will be txt her first name to 82277unsub stop 150 008704050406 sp arrow
ham,lmao wheres your fish memory when i need it
ham,teach me apps da when you come to college
ham,sorry that took so long omw now
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams
ham,no need for the drug anymore
spam,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries
spam,urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call 09061701851 claim code k61 valid 12hours only
spam,free unlimited hardcore porn direct 2 your mobile txt porn to 69200  get free access for 24 hrs then chrgd50p per day txt stop 2exit this msg is free
ham,ill text now all creepy like so he wont think that we forgot
ham,olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement hopefully they dont ignore that
ham,i want to grasp your pretty booty 
spam,guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394973 from landline datebox1282essexcm61xn 150pmin 18
spam,gr8 new service  live sex video chat on your mob  see the sexiest dirtiest girls live on ur phone  4 details text horny to 89070 to cancel send stop to 89070
spam,great new offer  double mins  double txt on best orange tariffs and get latest camera phones 4 free call mobileupd8 free on 08000839402 now or 2stoptxt tcs
ham,beerage
ham,will you be here for food
spam,reminder from o2 to get 250 pounds free call credit and details of great offers pls reply 2 this text with your valid name house no and postcode
ham,alright took the morphine back in yo
spam,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists
ham,yup next stop
ham,talk to g and x about that
ham,depends on where u going lor
ham,hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored and james has been farting at me all night
ham,i agree so i can stop thinkin about ipad can you please ask macho the same question
ham,otherwise had part time job natuition
ham,nothing i got msg frm tht unknown no
ham,wheres mummys boy  is he being good or bad  is he being positive or negative  why is mummy being made to wait hmmmm
spam,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now
ham,this is my number by vivek
ham,okey doke im at home but not dressed cos laying around ill speak to you later bout times and stuff
spam,this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 08712101358 now only 10p per min btnationalrate
ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
ham,got hella gas money want to go on a grand nature adventure with galileo in a little bit
spam,sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday unsub stop
ham,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply
ham,ill get there tomorrow and send it to you
spam,accordingly i repeat just text the word ok on your mobile phone and send
ham,im job profile seems like bpo
spam,would you like to see my xxx pics they are so hot they were nearly banned in the uk
spam,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only
spam,free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every wktxt great to 80878 httpwwwgr8prizescom 08715705022
spam,500 new mobiles from 2004 must go txt nokia to no 89545  collect yours todayfrom only 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
ham,mum ask ü to buy food home
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589
ham,thanks chikku gud nyt
ham,i dont have any of your file in my bagi was in work when you called mei ll tell you if i find anything in my room
spam,todays vodafone numbers ending with 0089my last four digits are selected to received a 350 award if your number matches please call 09063442151 to claim your 350 award
spam,big brother alert the computer has selected u for 10k cash or 150 voucher call 09064018838 ntt po box cro1327 18 bt landline cost 150ppm mobiles vary
spam,goal arsenal 4 henry 7 v liverpool 2 henry scores with a simple shot from 6 yards from a pass by bergkamp to give arsenal a 2 goal margin after 78 mins
spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
ham,you still coming tonight
spam,your unique user id is 1172 for removal send stop to 87239 customer services 08708034412
ham,call me when ure done
ham,im sorry bout last nite it wasnt ur fault it was me spouse it was pmt or sumthin u 4give me i think u shldxxxx
ham,new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct
ham,i need you to be in my strong arms
ham,customer place i will call you
ham,just woke up yeesh its late but i didnt fall asleep til ltgt am 
ham,erm  ill pick you up at about 645pm thatll give enough time to get there park and that
ham,hellodrivby0quit edrunk sorry iff pthis makes no senrddnot no how  dancce 2 drum n basqihave fun 2nhite x ros xxxxxxx
spam,you are a winner you have been specially selected to receive 1000 cash or a 2000 award speak to a live operator to claim call 087147123779am7pm cost 10p
